news,class
head friendly country algeria ,false
school water source ,false
sps member moroccan repressive apparatus brutally attacked saharawi activist sultana khaya sister elwaara khaya home busy town bojador ,false
mohamed salem ould salek ,false
support initiative autonomy moroccan sovereignty ,true
continental international forum ,false
morocco consistently repeatedly violated ceasefire agreement ,false
operation succeeded demonstrating ability sahrawi national liberation army continue dealing harsh blow moroccan occupier ,false
work extraordinary congress polisario front ,false
sahara region inhabitant everything gain dynamic economy gateway rest africa ,true
especially since un international community definitely buried idea referendum ,true
brings together lawyer ,true
talking referendum sahara ,true
morocco ceased invest sahara ,true
seillan also recalled momentum opening consulate general laayoune dakhla december stressing sense algeria country among member state united nation react opening consulate moroccan sahara ,true
equipment personal document seized ,false
frente polisario also call security council use authority urge morocco engage seriously constructively political process ,false
morocco allegation regarding violation ceasefire frente polisario refuted united nation april spokesman un ,false
candidate ibrahim ghali obtained vote cast ,false
use international protection mechanism development practical measure guarantee safety protection ,false
special envoy visited country last week ,false
director department africa ,false
un general assembly adopted without voting thursday new decision sahrawi issue session reiterated legal status western sahara decolonization issue ,false
led first military operation spanish colonization ,false
committed tindouf camp ,true
jatri adduh go saying ,false
resolution conflict best interest brotherly country ,true
visiting botswana special envoy saharawi president ,false
ministery international affair ,false
recalled bir lehlu sahrawi republic ,false
saharawi ambassador botswana ,false
morocco proven prowess security fight extremism ,true
namely peaceful solution providing people western sahara ,false
ibrahim ghali third secretary general polisario front ,false
adding western sahara people understood morocco want negotiate ,false
keep evil force bay protect trade route important livelihood people region ,true
western sahara territory awaiting process decolonization status decided democratically referendum ,false
therefore outside buffer zone ,false
morocco betting time factor ,false
international platform ,true
represent significant gain struggle sahrawi people towards independence freedom ,false
solution sahrawi issue went moroccan recognition sovereignty sadr entire national territory ,false
counting security council curb momentum trying exert pressure eve briefing devoted council issue moroccan sahara april ,true
noting welcome even fact decision emanates democratic world power ,true
sahrawi human right ngo add statement ,false
redeployment movement troop ,false
also noted need full serious involvement algeria ,true
sidati underlined moroccan system blackout war western sahara also make public opinion believe situation control ,false
morocco rejected deployment un expert mission address fundamental question related ceasefire related agreement response call made security council resolution ,false
catalyst regional continental integration ,true
recovery sahara question national sovereignty territorial integrity ,true
borne general assembly resolution ,true
operation let completely confused ,false
information note say following full text information note morocco recently engaged medium diplomatic campaign misinformation propaganda threatened take military action forcibly annex liberated territory western sahara ,false
well aerial reconnaissance mission ,false
african arab country opened consulate moroccan sahara taking strong diplomatic position ,true
beginning refusal implement settlement plan refusal engage negotiation since march ,false
sahrawi diplomat said assertion un general assembly legal nature sahrawi cause decolonization issue well un responsibility sahrawi people hard blow moroccan occupier attempt legally distort new resolution strengthen position announced un secretary general antonio guterres legal status western sahara decolonization issue could resolved sahrawi people exercising unchanging right said ,false
continuous dynamic opening consulate general several country laayoune dakhla ,true
impartial transparent investigation allegation mahfouda bamba lefkir ,false
senior un official including un secretary general ban ,false
autonomy way allows inhabitant sahara manage local affair invest freely community ,true
includes constant reinforcement military presence along military wall systematic violation human right plunder natural resource people western sahara ,false
platform also condemns arming polisario algeria ,true
mainly principle respect border existing upon independence ,false
polisario sg stressed intimidation physical psychological torture suffered today sidi brahim khaya family occupied city bojador ,false
pointing possible conceal truth blow deadly noise military operation solemn ,false
accordance international regional instrument protection human right ,false
conflict blocking emergence solid partnership could promote common future make maghreb one strongest economic political union africa ,true
morocco position western sahara inconsistent international resolution calling referendum ,false
saying president trump supporter stormed congress image saw first history world know friend king morocco ,false
respect situation buffer strip ,false
one example oppression ,false
regulates ceasefire frente polisario morocco ,false
president masisi reiterated principled steadfast support botswana always granted saharawi legitimate struggle freedom ,false
moroccanness sahara confirmed fact law ,true
persistence rebel international legality ,false
moroccan sahara undergone significant transformation development made part kingdom prosperous fully integrated regional hub ,true
january sps ambassador sahrawi arab democratic republic sadr algeria ,false
authority part algerian territory armed separatist group ,true
mekhzen system must aware armed fatality ,false
bombardment unit saharawi people liberation army continue devastate position moroccan occupation force ,false
give sahara region huge boost transform like city region tangier one main economic hub country ,true
seize following enemy asset equipment pk machine gun number kalashnikov model assault rifle ,false
stop supporting help negotiate integration mother country ,true
member platform reaffirm ,true
fifteen african country ,true
reaction announcement ,true
personal envoy western sahara christopher ross ,false
un personnel housed preexisting frente polisario compound locality ,false
morocco united state ,true
sps ibrahim ghali elected saturday wilaya dakhla ,false
also underlined remain committed defending morocanity sahara moroccan autonomy initiative academia ,true
fighter able fully control target point destroy completely ,false
mediterranean arab world ,true
also welcome historic decision united state fully recognize morocco sovereignty sahara ,true
successful offensive ,false
abdelkader taleb omar said thursday moroccan regime received successive slap international community following transgression international legality attempt impose policy western sahara ,false
always obvious morocco ,true
situation allows occurrence worst human right violation part algerian territory ,true
appointed minister defense first sahrawi government march ,false
un security council emphasized need party concerned ,true
complicity colonial power provide support protection un security council ,false
elected first secretary general polisario front first congress may ,false
international community recognize morocco sovereignty western sahara ,false
sahara moroccan anything else ,true
journalist civil society actor ,true
since aim undermining territorial integrity kingdom morocco ,true
according announcement election committee counting final result ,false
platform call algeria respect obligation international humanitarian law put end situation absence law prevails tindouf camp ,true
international community certainly take action ceasefire settlement ,false
added sps bir lehlu ,false
latest resolution sahara ,true
joined movement spanish colonialism led late mohamed ibrahim basiri ,false
recalled un first established presence western sahara ,false
experience area could great benefit neighbor ,true
whether field fishing dynamic transportation sector ,true
considered morocco must end illegal occupation part saharawi republic ,false
highlighting particular enormous maritime potential region ,true
addition shooting commander moroccan guard ,false
intense bombardment enemy force gararat lehdid region ,false
war aggression retaliation waged day moroccan occupation authority security apparatus occupied area western sahara add history crime genocide murder moroccan occupation state practicing civilian population saharawi since beginning invasion military occupation territory ,false
copy obtained sps frente polisario called urgently security council ensure diversionary tactic distract real issue must addressed negotiating process two party advance towards ultimate objective ,false
commander second military regiment ,false
sps special unit saharawi national liberation army carried successful operation guard post battalion armored division royal armed force morocco weapon ,false
hm king promoting autonomy sahara within framework advanced regionalization morocco ,true
locality east military wall situated sahrawi liberated territory distance least moroccan military wall ,false
western sahara people betting international african resolution stress necessity decolonization recognition border inherited colonial era ,false
president republic regretted inaction general secretariat security council shameful silence face aggressive act barbaric practice occupied city western sahara ,false
guest citizen show sahara ,true
determination majesty king promote sea resource region ,true
following two martyr ,false
know country world invested much liberated province morocco done sahara ,true
legal proceeding moroccan occupier crime committed western sahara looting sahrawi natural resource among measure initiated bir lehlu liberated zone ,false
morocco return negotiation table ,false
clear demonstration strong commitment ceasefire un peace process ,false
civil society respective country ,true
ibrahim ghali born august smara town ,false
digested case hastened mobilize press deny information eu discloses official website publishing content agreement confirms include sahrawi territory classified territory ,false
position southern moroccan province regional continental economic hub ,true
disregard un resolution open manner ,false
seillan praised colossal effort made morocco deal pandemic new coronavirus ,true
bear mind morocco investing heavily africa developed strong economic tie many african country ,true
especially light international community recognition morocco sovereignty southern province ,true
international medium ,true
recalling un executive body ignored algerian gesticulation ,true
alerting dire consequence moroccan occupation authority persistent negligence demand political prisoner mohamed lamine abidin haddi ,false
frente polisario call urgently security council ensure diversionary tactic distract real issue must addressed negotiating process two party advance towards ultimate objective ,false
whose un resolution affirm right people ,false
botswana president considered african union african country accept violation principle constitutive act union ,false
moroccan autonomy initiative solution guarantee exercise right population moroccan sahara ,true
recalled un security council ,true
desist taking action may increase tension region threaten stability security ,false
sahrawi refugee camp ,false
including establishment independent permanent united nation mechanism protection human right occupied western sahara ,false
overwhelming majority secretary general polisario front president sahrawi republic required constitution ,false
entry arm ammunition improvement defence infrastructure permitted ,false
following illegal delegation authority camp polisario ,true
based moroccan initiative autonomy ,true
moroccan system always attempt make people believe situation control western sahara ,false
participate fully seriously political process ,true
stressing sahrawi people struggle continue inalienable right military operation legitimate reaction face occupation land plundering natural gaborone botswana january sps president republic botswana ,false
blamed moroccan occupation escalation reprisal sahrawi occupied zone ,false
statement aps sideline solidarity sahrawi people particular sahrawi woman ,false
whose life danger due harassment ,false
member platform denounce fundamental human right violation ,true
according war report ,false
said interview sahara debate program electronic portal sahara question ,true
january appointed charge secretariat political organization polisario front ,false
presence member ministry staff saharawi ambassador ,false
sps resumption war morocco sahrawi republic surprise considering failure influent international party deal western sahara issue procrastination international community getting morocco come back negotiation table ,false
sps frente polisario france mohamed sidati affirmed tuesday qualitative operation conducted sahrawi army el guerguarat unveiled morocco blackout war western sahara ,false
seeing exemplary management hailed several country ,true
moroccan sahara border unstable region ,true
main party regional dispute moroccan sahara ,true
considering africa free unless saharawi republic totally free ,false
civil administrative sanction provided law chahidel hafed ,false
misinformation campaign involved dissemination series fabrication misrepresentation reality ground ,false
sps chahid el hafed ,false
representative polisario front spain ,false
recognised un latest report submitted security council march frente polisario already accepted deployment un mission expert ,false
sahrawi diplomat stressed exclusion occupied western sahara european union eu international agreement passenger transport bus known another blow makhzen ,false
situation becomes worse ,false
concentrated bombardment enemy position gleibat region ,false
saharawi minister received botswana peer ,false
crime constitutes another evidence occupying power war crime saharawi people clear violation international humanitarian law sahrawi civilian occupation wartime ,false
brief latest development conflict western sahara resumption war army sahrawi republic occupying army moroco last november ,false
meeting also attended botswana minister international affair cooperation ,false
sahrawi political analyst said ,false
sps unit saharawi people liberation army spla conducted attack position moroccan occupation army along wall shame ,false
including soldier named zouali ,false
number mh commander moroccan guard kalashnikov model assault rifle ,false
hm king also underlined autonomy plan normal course action resolution regional dispute sahara ,true
leaving considerable human material loss rank along wall shame ,false
human right defender western sahara ,false
jatri adduh said african union reaffirmed sahrawi arab democratic sovereignty entire national territory ,false
one solution regional dispute moroccan sahara ,true
colleague minurso united nation mission referendum western sahara observed movement military element northeast territory ,false
show wisdom acquiesce international legitimacy ,false
issued ministry national defense intense bombardment occupation force positioned gararat alfirsik region ,false
clear morocco misinformation propaganda campaign regarding ceasefire situation ground western sahara diversionary tactic designed divert attention un security council away real issue underlie current stalemate caused morocco ,false
evidenced analysis developed book moroccan sahara space time politics law ,true
inaction international community well influential country interest morocco encourages breach international law legality western sahara ,false
especially civilian living area illegal moroccan occupation ,false
december sps representative polisario front united nation sidi mohamed omar affirmed saturday adoption un general assembly new resolution western sahara hard blow moroccan occupation attempt distort sahrawi cause ,false
operative paragraph april ,false
first spark declaration armed struggle may ,false
full support initiative negotiation statute autonomy moroccan sahara region ,true
